	Type de signalement	Date	Heure	Rue	Ville	lat	lon	Type de vélo	Le vélo était-il stationné dans un lieu clos ?	Le vélo était-il attaché ?
118	Vélo volé	13/10/2020	19:00	Rue Morand	Nantes	47.23203270523422	 -1.5405292222239702	Vélo à assistance électrique	Non	Oui
119	Vélo volé	15/10/2020	00:30	Rue Paul Bellamy	Nantes	47.22764268909488	 -1.5611873659078035	VTC	Oui, un local collectif	Oui
120	Vélo volé	16/10/2020	17:00	Rue Henri Cochard	Nantes	47.223448834377564	 -1.5498894222242243	VTC	Non	Oui
121	Vélo volé	19/10/2020	19:30	Gymnase Port-au-Blé	Rezé	47.19021738820145	 -1.55254338410907	VTC	Non	Oui
122	Vélo volé	17/10/2020	12:00	Route de la Jonelière	Nantes	47.25259603201292	 -1.547624609232182	Vélo de route	Oui, un local privatif	Non
123	Vélo volé	22/10/2020	09:00	Impasse Thérèse bertrand-fontaine	Nantes	47.26406063387252	 -1.5652492822512198	Vélo à assistance électrique	Non	Oui
124	Vélo volé	22/10/2020	09:00	Impasse Thérèse bertrand-fontaine	Nantes	47.26406063387252	 -1.5652492822512198	Vélo à assistance électrique	Non	Oui
125	Vélo volé	22/10/2020	19:30	François Mitterand 	Saint-Herblain	47.22219495827969	 -1.6384329510608016	VTT	Oui, un local collectif	Oui
126	Vélo volé	19/10/2020		Place Victor Mangin	Nantes	47.20087928464125	 -1.5448614817538129	Vélo de route	Oui, un local privatif	Non
127	Vélo volé	19/10/2020		Place Victor Mangin	Nantes	47.20087928464125	 -1.5448614817538129	Vélo de route	Oui, un local privatif	Non
128	Vélo volé	29/09/2020	09:00	Rue des halles	Nantes	47.21576926660855	 -1.5559680915319674	VTT	Oui, un local collectif	Oui
129	Vélo volé	10/10/2020	16:05	Allée Louis Jouvet	Nantes	47.23144548823537	 -1.586781820368109	VTT	Oui, un local collectif	Oui
130	Vélo volé	30/10/2020	12:00	Rue d'Angoumois	Nantes	47.22422918500433	 -1.5671764320027566	VTT	Oui, un local privatif	Non
154	Vélo volé	18/11/2020	10:00	Rue Jules Polo	Nantes	47.223298119927804	-1.5599872724737576	VTT	Oui, un local privatif	Non
155	Vélo volé	10/11/2020	11:30	Rue des Grands Pâtis	Nantes	47.27190035625288	-1.5246327492035894	VTC	Non	Oui
156	Vélo volé	21/11/2020	02:00	Rue de Rieux	Nantes	47.21104375535598	-1.5453076166568744	Vélo hollandais	Oui, un local privatif	
158	Vélo volé	24/11/2020	23:00	Pierre Landais	Nantes	47.20545689029609	-1.5592266896763478	Vélo de route	Oui, un local privatif	Oui
159	Vélo volé	24/11/2020	23:00	Pierre Landais	Nantes	47.20545689029609	-1.5592266896763478	Vélo de route	Oui, un local privatif	Oui
